crn,catalog_id,section,credits,title,meetings,primary_instructor
58111,AC 0203,01,3.000,Intermediate Accounting I,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '05/21-06/27', 'location': 'DSB 112'}, {'days': 'R', 'times': '0600pm-0930pm', 'dates': '05/31-05/31', 'location': 'DSB 106'}]",Scott M  Brenner
58112,AC 0204,01,3.000,Intermediate Accounting II,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '07/09-08/13', 'location': 'DSB 111'}]",Scott M  Brenner
58151,AC 0391,01,3.000,Internship,"[{'days': '\xa0', 'times': 'TBA', 'dates': '05/21-08/31', 'location': 'BY ARR '}]",Sarah Jennie  Bollinger
58296,AC 0392,01,3.000,Internship,"[{'days': '\xa0', 'times': 'TBA', 'dates': '05/21-08/31', 'location': 'BY ARR '}]",Sarah Jennie  Bollinger
58453,AC 0393,01,1.000,Internship,"[{'days': '\xa0', 'times': 'TBA', 'dates': '05/21-08/31', 'location': 'BY ARR '}]",Sarah Jennie  Bollinger
58201,AC 0400,01,3.000,Introduction to Accounting,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '05/21-06/18', 'location': 'DSB 104'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '06/09-06/16', 'location': 'DSB 106'}]",Michael P.  Coyne
58124,AC 0510,01,3.000,Issues in a Regulatory Reporting Environment,"[{'days': 'W', 'times': '0600pm-0930pm', 'dates': '05/23-06/27', 'location': 'DSB 110A'}, {'days': 'S', 'times': '0900am-1230pm', 'dates': '05/26-06/30', 'location': 'DSB 109'}]",Stephen E.  Yost
58125,AC 0510,02,3.000,Issues in a Regulatory Reporting Environment,"[{'days': 'W', 'times': '0600pm-0930pm', 'dates': '05/23-06/27', 'location': 'DSB 110A'}, {'days': 'S', 'times': '0100pm-0430pm', 'dates': '05/26-06/30', 'location': 'DSB 109'}]",Stephen E.  Yost
58101,AC 0530,01,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'MWF', 'times': '0800am-1030am', 'dates': '06/04-07/02', 'location': 'DSB 112'}, {'days': 'RFS', 'times': '0800am-1030am', 'dates': '07/05-07/07', 'location': 'DSB 112'}]",Milo W.  Peck
58102,AC 0530,02,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'MWF', 'times': '1100am-0130pm', 'dates': '06/04-07/02', 'location': 'DSB 112'}, {'days': 'RFS', 'times': '1100am-0130pm', 'dates': '07/05-07/07', 'location': 'DSB 112'}]",Milo W.  Peck
58202,AC 0530,03,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'MWF', 'times': '0200pm-0430pm', 'dates': '06/04-07/02', 'location': 'DSB 112'}, {'days': 'RFS', 'times': '0200pm-0430pm', 'dates': '07/05-07/07', 'location': 'DSB 112'}]",Milo W.  Peck
58103,AC 0580,01,3.000,Financial Statement Analysis,"[{'days': 'TF', 'times': '0930am-1230pm', 'dates': '05/22-05/25', 'location': 'NHS 224'}, {'days': 'TW', 'times': '0745am-1045am', 'dates': '05/23-05/29', 'location': 'DSB 108'}, {'days': 'R', 'times': '0930am-1230pm', 'dates': '05/31-05/31', 'location': 'NHS 224'}, {'days': 'TR', 'times': '0800am-1100am', 'dates': '06/05-07/03', 'location': 'DSB 115'}]",Lisa Suzanne  Haylon
58104,AC 0580,02,3.000,Financial Statement Analysis,"[{'days': 'TF', 'times': '0930am-1230pm', 'dates': '05/22-05/25', 'location': 'NHS 224'}, {'days': 'WR', 'times': '1100am-0200pm', 'dates': '05/24-05/30', 'location': 'DSB 115'}, {'days': 'R', 'times': '0930am-1230pm', 'dates': '05/31-05/31', 'location': 'NHS 224'}, {'days': 'TR', 'times': '1200pm-0300pm', 'dates': '06/05-07/03', 'location': 'DSB 115'}]",Patricia M.  Poli
58203,AC 0580,03,3.000,Financial Statement Analysis,"[{'days': 'TF', 'times': '0930am-1230pm', 'dates': '05/22-05/25', 'location': 'NHS 224'}, {'days': 'W', 'times': '0100pm-0400pm', 'dates': '05/23-05/23', 'location': 'DSB 111'}, {'days': 'T', 'times': '0630pm-0930pm', 'dates': '05/29-05/29', 'location': 'DSB 111'}, {'days': 'R', 'times': '0930am-1230pm', 'dates': '05/31-05/31', 'location': 'NHS 224'}, {'days': 'TR', 'times': '0400pm-0700pm', 'dates': '06/05-07/03', 'location': 'DSB 115'}]",Patricia M.  Poli
58339,AS 0405A,01,3.000,"Special Topics: Study Away: Newport, Rhode Island: ""A Lively Experiment""","[{'days': 'R', 'times': '0630pm-0830pm', 'dates': '05/31-06/14', 'location': 'DMH 331'}, {'days': 'RFSU', 'times': 'TBA', 'dates': '06/21-06/24', 'location': 'BY ARR '}]",Kurt C.  Schlichting
58419,ASHI 0442,01,3.000,"Immigration, Ethnicity, and Race in United States History","[{'days': 'MW', 'times': '0530pm-0800pm', 'dates': '07/09-08/08', 'location': 'CNS 9'}]",Cecelia F.  Bucki
58219,AY 0110,OL1,3.000,Biological Anthropology,"[{'days': '\xa0', 'times': 'TBA', 'dates': '07/09-08/18', 'location': 'ONLINE '}]",Joseph A.  Wilson
58146,AY 0111,OL1,3.000,Cultural Anthropology,"[{'days': '\xa0', 'times': 'TBA', 'dates': '05/29-07/07', 'location': 'ONLINE '}]",Sarah A.  Wessler
58081,AE 0291,OL1,3.000,Business Ethics,"[{'days': '\xa0', 'times': 'TBA', 'dates': '07/09-08/18', 'location': 'ONLINE '}]",Lisa M.  Sticca-Conrod
58172,AE 0293,01,3.000,Ethics of War and Peace,"[{'days': 'MTR', 'times': '0645pm-0955pm', 'dates': '07/09-08/02', 'location': 'DSB 106'}]",Norma   Schmidt
58082,AE 0295,OL1,3.000,Ethics in Law and Society,"[{'days': '\xa0', 'times': 'TBA', 'dates': '05/29-07/07', 'location': 'ONLINE '}]",Lisa M.  Sticca-Conrod
58001,AH 0011,OL1,3.000,Visual Culture Since 1400: Expression and Experimentation,"[{'days': '\xa0', 'times': 'TBA', 'dates': '07/09-08/18', 'location': 'ONLINE '}]",Lauren Elise  Cesiro
58083,AH 0013,01,3.000,"Art of Africa, the Caribbean, and the Americas","[{'days': 'MTR', 'times': '0645pm-0955pm', 'dates': '06/04-06/28', 'location': 'CNS 6'}]",Dawn M.  Pilotti
58156,AH 0013,AI1,3.000,"Art of Africa, the Caribbean, and the Americas","[{'days': 'MTWRF', 'times': '0900am-1100am', 'dates': '07/10-08/01', 'location': 'CNS 108'}]",Dawn M.  Pilotti
58186,AH 0013,AI2,3.000,"Art of Africa, the Caribbean, and the Americas","[{'days': 'MTWRF', 'times': '0100pm-0300pm', 'dates': '07/10-08/01', 'location': 'CNS 6'}]",Dawn M.  Pilotti
58217,AH 0193,01,3.000,"Inside Museums and Galleries: Taste, Place, Public Space","[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '05/23-05/30', 'location': 'CNS 6'}]",Philip I.  Eliasoph
58155,BI 0070,OL1,3.000,"Science, Technology, and Society","[{'days': '\xa0', 'times': 'TBA', 'dates': '07/09-08/18', 'location': 'ONLINE '}]",Debra S.  Sauer
58002,BI 0071,01,3.000,Identity and the Human Genome,"[{'days': 'MTWRF', 'times': '0930am-1230pm', 'dates': '07/09-07/20', 'location': 'BNW 256'}]",Olivia T.  Harriott
58341,BI 0071,OL1,3.000,Identity and the Human Genome,"[{'days': '\xa0', 'times': 'TBA', 'dates': '05/29-07/07', 'location': 'ONLINE '}]",Christine R.  Rodriguez
58187,BI 0076,AI1,3.000,Environmental Science,"[{'days': 'MTWRF', 'times': '0900am-1100am', 'dates': '07/10-08/01', 'location': 'BNW 127'}]",James E.  Biardi
58188,BI 0076,AI2,3.000,Environmental Science,"[{'days': 'MTWRF', 'times': '0100pm-0300pm', 'dates': '07/10-08/01', 'location': 'BNW 127'}]",James E.  Biardi
58342,BI 0078,OL1,3.000,Introduction to Marine Science,"[{'days': '\xa0', 'times': 'TBA', 'dates': '05/29-07/07', 'location': 'ONLINE '}]",Thomas B.  Cunningham
58085,BI 0107,01,4.000,Human Anatomy and Physiology I,"[{'days': 'MWF', 'times': '0800am-1030am', 'dates': '06/04-07/06', 'location': 'BNW 139'}]",Anthony J.  DeCristofaro
58086,BI 0107L,01,0.000,Human Anatomy and Physiology Lab I,"[{'days': 'TR', 'times': '0800am-1050am', 'dates': '06/04-07/06', 'location': 'BNW 240'}]",Anthony J.  DeCristofaro
58087,BI 0108,01,4.000,Human Anatomy and Physiology II,"[{'days': 'MWF', 'times': '0800am-1030am', 'dates': '07/09-08/10', 'location': 'BNW 138'}]",Anthony J.  DeCristofaro
58088,BI 0108L,01,0.000,Human Anatomy and Physiology Lab II,"[{'days': 'TR', 'times': '0800am-1050am', 'dates': '07/09-08/10', 'location': 'BNW 240'}]",Anthony J.  DeCristofaro
58220,BI 0170,01,4.000,General Biology I,"[{'days': 'MTWRF', 'times': '1030am-1200pm', 'dates': '06/04-07/06', 'location': 'BNW 127'}]",Geoffrey A.  Church
58221,BI 0170L,01,0.000,General Biology I Lab,"[{'days': 'MW', 'times': '0100pm-0350pm', 'dates': '06/04-07/02', 'location': 'BNW 261'}, {'days': 'R', 'times': '0100pm-0350pm', 'dates': '07/05-07/05', 'location': 'BNW 261'}]",Geoffrey A.  Church
58110,BU 0211,01,3.000,Legal Environment of Business,"[{'days': 'TWRF', 'times': '0830am-0430pm', 'dates': '05/23-05/30', 'location': 'DSB 106'}]",Sharlene A.  McEvoy
