term,crn,catalog_id,section,credits,title,meetings,timecodes,primary_instructor,cap,act,rem
Summer2017,57138,AC 0203,01,3.000,Intermediate Accounting I,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '05/22-06/28', 'location': 'DSB 112'}, {'days': 'R', 'times': '0600pm-0930pm', 'dates': '06/01-06/01', 'location': 'DSB 112'}]","['MW 0600pm-0930pm 05/22-06/28 DSB 112', 'R 0600pm-0930pm 06/01-06/01 DSB 112']",Scott M  Brenner,25,8,17
Summer2017,57139,AC 0204,01,3.000,Intermediate Accounting II,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '07/10-08/14', 'location': 'DSB 112'}]",['MW 0600pm-0930pm 07/10-08/14 DSB 112'],Scott M  Brenner,25,7,18
Summer2017,57189,AC 0391,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,0,7,-7
Summer2017,57466,AC 0392,01,3.000,Internship,[],[],Sarah Jennie  Bollinger,0,1,-1
Summer2017,57332,AC 0400,01,3.000,Introduction to Accounting,"[{'days': 'MW', 'times': '0600pm-0930pm', 'dates': '05/22-06/19', 'location': 'DSB 115'}, {'days': 'S', 'times': '0830am-0430pm', 'dates': '06/10-06/17', 'location': 'DSB 115'}]","['MW 0600pm-0930pm 05/22-06/19 DSB 115', 'S 0830am-0430pm 06/10-06/17 DSB 115']",Michael P.  Coyne,20,11,9
Summer2017,57155,AC 0510,01,3.000,Issues in a Regulatory Reporting Environment,"[{'days': 'M', 'times': '0600pm-0930pm', 'dates': '05/22-06/19', 'location': 'DSB 108'}, {'days': 'R', 'times': '0600pm-0930pm', 'dates': '05/25-05/25', 'location': 'DSB 110A'}, {'days': 'T', 'times': '0600pm-0930pm', 'dates': '05/30-05/30', 'location': 'DSB 108'}, {'days': 'S', 'times': '0900am-1230pm', 'dates': '06/03-06/24', 'location': 'DSB 110A'}, {'days': 'S', 'times': '0100pm-0430pm', 'dates': '06/03-06/10', 'location': 'DSB 110A'}]","['M 0600pm-0930pm 05/22-06/19 DSB 108', 'R 0600pm-0930pm 05/25-05/25 DSB 110A', 'T 0600pm-0930pm 05/30-05/30 DSB 108', 'S 0900am-1230pm 06/03-06/24 DSB 110A', 'S 0100pm-0430pm 06/03-06/10 DSB 110A']",Stephen E.  Yost,25,21,4
Summer2017,57156,AC 0510,02,3.000,Issues in a Regulatory Reporting Environment,"[{'days': 'T', 'times': '0600pm-0930pm', 'dates': '05/23-05/23', 'location': 'DSB 104'}, {'days': 'R', 'times': '0600pm-0930pm', 'dates': '05/25-05/25', 'location': 'DSB 110A'}, {'days': 'W', 'times': '0600pm-0930pm', 'dates': '05/31-06/19', 'location': 'DSB 104'}, {'days': 'S', 'times': '0900am-1230pm', 'dates': '06/03-06/24', 'location': 'DSB 110A'}, {'days': 'S', 'times': '0100pm-0430pm', 'dates': '06/03-06/10', 'location': 'DSB 110A'}]","['T 0600pm-0930pm 05/23-05/23 DSB 104', 'R 0600pm-0930pm 05/25-05/25 DSB 110A', 'W 0600pm-0930pm 05/31-06/19 DSB 104', 'S 0900am-1230pm 06/03-06/24 DSB 110A', 'S 0100pm-0430pm 06/03-06/10 DSB 110A']",Stephen E.  Yost,25,25,0
Summer2017,57127,AC 0530,01,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'MWF', 'times': '0800am-1030am', 'dates': '05/22-06/30', 'location': 'DSB 112'}]",['MWF 0800am-1030am 05/22-06/30 DSB 112'],Milo W.  Peck,22,22,0
Summer2017,57128,AC 0530,02,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'MWF', 'times': '1100am-0130pm', 'dates': '05/22-06/30', 'location': 'DSB 112'}]",['MWF 1100am-0130pm 05/22-06/30 DSB 112'],Milo W.  Peck,20,23,-3
Summer2017,57333,AC 0530,03,3.000,"Accounting for Governments, Hospitals, and Universities","[{'days': 'MWF', 'times': '0200pm-0430pm', 'dates': '05/22-06/30', 'location': 'DSB 112'}]",['MWF 0200pm-0430pm 05/22-06/30 DSB 112'],Milo W.  Peck,22,21,1
Summer2017,57129,AC 0580,01,3.000,Financial Statement Analysis,"[{'days': 'R', 'times': '0800am-1130am', 'dates': '06/08-06/29', 'location': 'DSB 115'}, {'days': 'T', 'times': '1230pm-0400pm', 'dates': '06/13-06/27', 'location': 'DSB 105'}, {'days': 'W', 'times': '1230pm-0400pm', 'dates': '07/05-07/05', 'location': 'DSB 105'}, {'days': 'F', 'times': '0800am-1130am', 'dates': '07/07-07/07', 'location': 'DSB 115'}, {'days': 'TR', 'times': '0800am-1130am', 'dates': '07/11-07/13', 'location': 'DSB 115'}, {'days': 'S', 'times': '0900am-1230pm', 'dates': '07/15-07/15', 'location': 'DSB 105'}]","['R 0800am-1130am 06/08-06/29 DSB 115', 'T 1230pm-0400pm 06/13-06/27 DSB 105', 'W 1230pm-0400pm 07/05-07/05 DSB 105', 'F 0800am-1130am 07/07-07/07 DSB 115', 'TR 0800am-1130am 07/11-07/13 DSB 115', 'S 0900am-1230pm 07/15-07/15 DSB 105']",Patricia M.  Poli,22,22,0
Summer2017,57130,AC 0580,02,3.000,Financial Statement Analysis,"[{'days': 'R', 'times': '1230pm-0400pm', 'dates': '06/08-06/29', 'location': 'DSB 115'}, {'days': 'T', 'times': '1230pm-0400pm', 'dates': '06/13-06/27', 'location': 'DSB 105'}, {'days': 'W', 'times': '1230pm-0400pm', 'dates': '07/05-07/05', 'location': 'DSB 105'}, {'days': 'F', 'times': '1230pm-0400pm', 'dates': '07/07-07/07', 'location': 'DSB 115'}, {'days': 'TR', 'times': '1230pm-0400pm', 'dates': '07/11-07/13', 'location': 'DSB 115'}, {'days': 'S', 'times': '0900am-1230pm', 'dates': '07/15-07/15', 'location': 'DSB 105'}]","['R 1230pm-0400pm 06/08-06/29 DSB 115', 'T 1230pm-0400pm 06/13-06/27 DSB 105', 'W 1230pm-0400pm 07/05-07/05 DSB 105', 'F 1230pm-0400pm 07/07-07/07 DSB 115', 'TR 1230pm-0400pm 07/11-07/13 DSB 115', 'S 0900am-1230pm 07/15-07/15 DSB 105']",Patricia M.  Poli,22,23,-1
Summer2017,57334,AC 0580,03,3.000,Financial Statement Analysis,"[{'days': 'R', 'times': '1230pm-0400pm', 'dates': '06/08-06/29', 'location': 'DSB 109'}, {'days': 'T', 'times': '1230pm-0400pm', 'dates': '06/13-06/27', 'location': 'DSB 109'}, {'days': 'W', 'times': '1230pm-0400pm', 'dates': '07/05-07/05', 'location': 'DSB 109'}, {'days': 'F', 'times': '1230pm-0400pm', 'dates': '07/07-07/07', 'location': 'DSB 109'}, {'days': 'TR', 'times': '1230pm-0400pm', 'dates': '07/11-07/13', 'location': 'DSB 109'}, {'days': 'S', 'times': '0900am-1230pm', 'dates': '07/15-07/15', 'location': 'DSB 108'}]","['R 1230pm-0400pm 06/08-06/29 DSB 109', 'T 1230pm-0400pm 06/13-06/27 DSB 109', 'W 1230pm-0400pm 07/05-07/05 DSB 109', 'F 1230pm-0400pm 07/07-07/07 DSB 109', 'TR 1230pm-0400pm 07/11-07/13 DSB 109', 'S 0900am-1230pm 07/15-07/15 DSB 108']",Lisa Suzanne  Haylon,22,21,1
Summer2017,57231,ASAH 0441,01,3.000,Fine Art vs. Anti-Art: 1917 to 1967,"[{'days': 'MTWRF', 'times': '0830am-0500pm', 'dates': '06/26-06/30', 'location': 'CNS 6'}]",['MTWRF 0830am-0500pm 06/26-06/30 CNS 6'],Philip I.  Eliasoph,15,5,10
Summer2017,57357,ASHI 0437,01,3.000,American Prophetic Tradition,"[{'days': 'TR', 'times': '0500pm-0730pm', 'dates': '07/11-08/01', 'location': 'DMH 231'}, {'days': 'S', 'times': '0900am-0200pm', 'dates': '07/15-07/22', 'location': 'DMH 231'}]","['TR 0500pm-0730pm 07/11-08/01 DMH 231', 'S 0900am-0200pm 07/15-07/22 DMH 231']",David W.  McFadden,15,7,8
Summer2017,57358,AY 0110,OL1,3.000,Biological Anthropology,[],[],Joseph A.  Wilson,20,20,0
Summer2017,57184,AY 0111,OL1,3.000,Cultural Anthropology,[],[],Sarah A.  Wessler,20,19,1
Summer2017,57098,AE 0291,OL1,3.000,Business Ethics,[],[],Lisa M.  Sticca-Conrod,20,17,3
Summer2017,57229,AE 0293,01,3.000,Ethics of War and Peace,"[{'days': 'MTR', 'times': '0645pm-0955pm', 'dates': '07/10-08/04', 'location': 'DSB 104'}]",['MTR 0645pm-0955pm 07/10-08/04 DSB 104'],Norma   Schmidt,25,10,15
Summer2017,57099,AE 0295,OL1,3.000,Ethics in Law and Society,[],[],Lisa M.  Sticca-Conrod,20,8,12
Summer2017,57001,AH 0011,OL1,3.000,Visual Culture Since 1400: Expression and Experimentation,[],[],Lauren Elise  Cesiro,20,14,6
Summer2017,57100,AH 0013,01,3.000,"Art of Africa, the Caribbean, and the Americas","[{'days': 'MTR', 'times': '0645pm-0955pm', 'dates': '06/05-06/30', 'location': 'CNS 10'}]",['MTR 0645pm-0955pm 06/05-06/30 CNS 10'],Dawn M.  Pilotti,25,13,12
Summer2017,57195,AH 0013,AI1,3.000,"Art of Africa, the Caribbean, and the Americas","[{'days': 'MTWRF', 'times': '0900am-1100am', 'dates': '07/10-08/07', 'location': 'CNS 5'}]",['MTWRF 0900am-1100am 07/10-08/07 CNS 5'],Dawn M.  Pilotti,0,17,-17
Summer2017,57265,AH 0013,AI2,3.000,"Art of Africa, the Caribbean, and the Americas","[{'days': 'MTWRF', 'times': '0100pm-0300pm', 'dates': '07/10-08/07', 'location': 'CNS 5'}]",['MTWRF 0100pm-0300pm 07/10-08/07 CNS 5'],Dawn M.  Pilotti,0,16,-16
Summer2017,57101,AH 0164,01,3.000,American Art and Media Culture,"[{'days': 'MTWRF', 'times': '0830am-0430pm', 'dates': '06/12-06/16', 'location': 'CNS 6'}]",['MTWRF 0830am-0430pm 06/12-06/16 CNS 6'],Philip I.  Eliasoph,15,6,9
Summer2017,57356,AH 0193,01,3.000,"Inside Museums and Galleries: Taste, Place, Public Space","[{'days': 'TWRF', 'times': '0830am-0430pm', 'dates': '05/24-05/31', 'location': 'CNS 6'}]",['TWRF 0830am-0430pm 05/24-05/31 CNS 6'],Philip I.  Eliasoph,11,10,1
Summer2017,57439,AH 0310,01,3.000,Internship,[],[],Marice E.  Rose,0,1,-1
Summer2017,57194,BI 0070,OL1,3.000,"Science, Technology, and Society",[],[],Debra S.  Sauer,20,17,3
Summer2017,57002,BI 0071,01,3.000,Identity and the Human Genome,"[{'days': 'MTWRF', 'times': '0930am-1230pm', 'dates': '07/10-07/21', 'location': 'BNW 340'}]",['MTWRF 0930am-1230pm 07/10-07/21 BNW 340'],Olivia T.  Harriott,0,11,-11
Summer2017,57106,BI 0075,OL1,3.000,Ecology and Society,[],[],Thomas B.  Cunningham,20,20,0
Summer2017,57437,BI 0075,OL2,3.000,Ecology and Society,[],[],Thomas B.  Cunningham,19,19,0
Summer2017,57266,BI 0076,AI1,3.000,Environmental Science,"[{'days': 'MTWRF', 'times': '0900am-1100am', 'dates': '07/10-08/07', 'location': 'BNW 469'}]",['MTWRF 0900am-1100am 07/10-08/07 BNW 469'],James E.  Biardi,0,16,-16
Summer2017,57267,BI 0076,AI2,3.000,Environmental Science,"[{'days': 'MTWRF', 'times': '0100pm-0300pm', 'dates': '07/10-08/07', 'location': 'BNW 469'}]",['MTWRF 0100pm-0300pm 07/10-08/07 BNW 469'],James E.  Biardi,0,17,-17
Summer2017,57102,BI 0107,01,4.000,Human Anatomy and Physiology I,"[{'days': 'MWF', 'times': '0745am-1015am', 'dates': '06/05-07/07', 'location': 'BNW 256'}]",['MWF 0745am-1015am 06/05-07/07 BNW 256'],Anthony J.  DeCristofaro,16,15,1
Summer2017,57103,BI 0107L,01,0.000,Human Anatomy and Physiology Lab II,"[{'days': 'TR', 'times': '0800am-1030am', 'dates': '06/05-07/07', 'location': 'BNW 240'}]",['TR 0800am-1030am 06/05-07/07 BNW 240'],Anthony J.  DeCristofaro,16,15,1
Summer2017,57104,BI 0108,01,4.000,Human Anatomy and Physiology II,"[{'days': 'MWF', 'times': '0745am-1015am', 'dates': '07/10-08/11', 'location': 'BNW 253'}]",['MWF 0745am-1015am 07/10-08/11 BNW 253'],Anthony J.  DeCristofaro,16,14,2
Summer2017,57105,BI 0108L,01,0.000,Human Anatomy and Physiology Lab II,"[{'days': 'TR', 'times': '0800am-1030am', 'dates': '07/10-08/11', 'location': 'BNW 240'}]",['TR 0800am-1030am 07/10-08/11 BNW 240'],Anthony J.  DeCristofaro,16,14,2
Summer2017,57360,BI 0170,01,4.000,General Biology I,"[{'days': 'MTWRF', 'times': '1030am-1200pm', 'dates': '06/05-07/07', 'location': 'BNW 256'}]",['MTWRF 1030am-1200pm 06/05-07/07 BNW 256'],Geoffrey A.  Church,16,7,9
Summer2017,57361,BI 0170L,01,0.000,General Biology I Lab,"[{'days': 'MW', 'times': '0100pm-0400pm', 'dates': '06/05-07/07', 'location': 'BNW 261'}]",['MW 0100pm-0400pm 06/05-07/07 BNW 261'],Geoffrey A.  Church,16,7,9
Summer2017,57137,BU 0211,01,3.000,Legal Environment of Business,"[{'days': 'TWRF', 'times': '0830am-0430pm', 'dates': '05/24-05/31', 'location': 'DSB 106'}]",['TWRF 0830am-0430pm 05/24-05/31 DSB 106'],Sharlene A.  McEvoy,20,16,4
Summer2017,57216,BB 0121,01,0.000,SHRM Essentials of Human Resource Management,"[{'days': 'FS', 'times': '0900am-0400pm', 'dates': '06/02-06/03', 'location': 'DSB 104'}]",['FS 0900am-0400pm 06/02-06/03 DSB 104'],Nancy L.  Varsos,15,6,9
Summer2017,57145,BB 0134,01,0.000,Investment Planning,"[{'days': 'T', 'times': '0630pm-1000pm', 'dates': '06/06-08/15', 'location': 'DSB 2109A'}]",['T 0630pm-1000pm 06/06-08/15 DSB 2109A'],Peter J  Coleman,15,4,11
Summer2017,57143,BB 0136,01,0.000,Federal Income and Property Taxation,"[{'days': 'R', 'times': '0630pm-1000pm', 'dates': '04/13-06/29', 'location': 'DSB 2109A'}]",['R 0630pm-1000pm 04/13-06/29 DSB 2109A'],Paul A.  Rivera,15,7,8
Summer2017,57109,CH 0112,01,3.000,General Chemistry II,"[{'days': 'MTWRF', 'times': '0800am-1000am', 'dates': '07/10-08/11', 'location': 'BNW GR22'}]",['MTWRF 0800am-1000am 07/10-08/11 BNW GR22'],Jon J.  Harper,16,7,9
Summer2017,57110,CH 0112L,01,1.000,General Chemistry II Lab,"[{'days': 'TWR', 'times': '1230pm-0330pm', 'dates': '07/10-08/11', 'location': 'BNW 361'}]",['TWR 1230pm-0330pm 07/10-08/11 BNW 361'],Jon J.  Harper,16,7,9
Summer2017,57364,CH 0211,01,3.000,Organic Chemistry I,"[{'days': 'MTWRF', 'times': '0800am-1000am', 'dates': '06/05-07/07', 'location': 'BNW 333'}]",['MTWRF 0800am-1000am 06/05-07/07 BNW 333'],Donald J.  Wolanin,20,19,1
Summer2017,57365,CH 0211L,01,1.000,Organic Chemistry I Lab,"[{'days': 'TWR', 'times': '1230pm-0430pm', 'dates': '06/05-07/07', 'location': 'BNW 339'}]",['TWR 1230pm-0430pm 06/05-07/07 BNW 339'],Omari   Ansong,16,16,0
Summer2017,57366,CH 0212,01,3.000,Organic Chemistry II,"[{'days': 'MTWRF', 'times': '0800am-1000am', 'dates': '07/10-08/11', 'location': 'BNW 333'}]",['MTWRF 0800am-1000am 07/10-08/11 BNW 333'],Donald J.  Wolanin,16,13,3
Summer2017,57367,CH 0212L,01,1.000,Organic Chemistry II Lab,"[{'days': 'TWR', 'times': '1230pm-0430pm', 'dates': '07/10-08/11', 'location': 'BNW 339'}]",['TWR 1230pm-0430pm 07/10-08/11 BNW 339'],Omari   Ansong,16,12,4
Summer2017,57003,CO 0100,OL1,3.000,Human Communication Theories,[],[],Qin   Zhang,20,14,6
Summer2017,57154,CO 0101,OL1,3.000,Argument and Advocacy,[],[],Audra Kate  Nuru,20,14,6
Summer2017,57368,CO 0200,OL1,3.000,Interpersonal Communication Theories,[],[],Michael P.  Pagano,20,16,4
Summer2017,57004,CO 0240,OL1,3.000,Intercultural Communication,[],[],Qin   Zhang,20,9,11
Summer2017,57005,CO 0246,01,3.000,Family Communication,"[{'days': 'MTWRF', 'times': '0930am-1230pm', 'dates': '07/10-07/21', 'location': 'DMH 350'}]",['MTWRF 0930am-1230pm 07/10-07/21 DMH 350'],Margaret A.  Wills,0,9,-9
Summer2017,57232,CO 0399,01,1.000,Internship,[],[],Qin   Zhang,0,1,-1
Summer2017,57233,CO 0399,03,3.000,Internship,[],[],Qin   Zhang,0,11,-11
