crn,catalog_id,section,credits,title,meetings,primary_instructor
34390,AC 0011,01,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/16-05/01', 'location': 'DSB 111'}]",Ahmed M.  Ebrahim
34815,AC 0011,02,3.000,Introduction to Financial Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/16-05/01', 'location': 'DSB 115'}]",Ahmed M.  Ebrahim
34085,AC 0012,01,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/16-05/01', 'location': 'DSB 108'}]",Rebecca I.  Bloch
34164,AC 0012,02,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/16-05/01', 'location': 'DSB 108'}]",Rebecca I.  Bloch
34180,AC 0012,03,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0800am-0915am', 'dates': '01/16-05/01', 'location': 'DSB 108'}]",Gregory Patrick  Burke
34181,AC 0012,04,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0930am-1045am', 'dates': '01/16-05/01', 'location': 'DSB 108'}]",Gregory Patrick  Burke
34182,AC 0012,05,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0200pm-0315pm', 'dates': '01/16-05/01', 'location': 'DSB 108'}]",Gregory Patrick  Burke
34183,AC 0012,06,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '0330pm-0445pm', 'dates': '01/16-05/01', 'location': 'DSB 108'}]",Gregory Patrick  Burke
34271,AC 0012,07,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/16-05/01', 'location': 'DSB 111'}]",Paul   Caster
34391,AC 0012,08,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1100am-1215pm', 'dates': '01/16-05/01', 'location': 'DSB 111'}]",Paul   Caster
34392,AC 0012,09,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1100am-1215pm', 'dates': '01/16-05/01', 'location': 'DSB 110B'}]",Jo Ann   Drusbosky
34569,AC 0012,10,3.000,Introduction to Management Accounting,"[{'days': 'TF', 'times': '1230pm-0145pm', 'dates': '01/16-05/01', 'location': 'DSB 110B'}]",Jo Ann   Drusbosky
34616,AC 0012,11,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '0930am-1045am', 'dates': '01/16-05/01', 'location': 'DSB 108'}]",Arleen N.  Kardos
34617,AC 0012,12,3.000,Introduction to Management Accounting,"[{'days': 'MR', 'times': '1230pm-0145pm', 'dates': '01/16-05/01', 'location': 'DSB 110B'}]",Arleen N.  Kardos
